"province_name","province_code","iso_code","chamber","senate","sanction","implemented","until","pct.women","mandate","legislation"
"CAPITAL FEDERAL",2,"AR-C","HOUSE",0,1996-10-01,1996,2018,30,1,"Constitution, Article 36"
"CAPITAL FEDERAL",2,"AR-C","HOUSE",0,2018-10-25,2019,,50,1,"Law 6.031"
"BUENOS AIRES",6,"AR-B","HOUSE",0,1995-11-16,1997,2016,30,1,"Law 11.733, Decree 439/97"
"BUENOS AIRES",6,"AR-B","HOUSE",0,2016-10-04,2017,,50,1,"Law 14.848, Decree 266/19"
"CATAMARCA",10,"AR-K","HOUSE",0,1997-07-10,1999,2018,30,1,"Law 4.916"
"CATAMARCA",10,"AR-K","HOUSE",0,2018-06-14,2019,,50,1,"Law 5.539"
"CORDOBA",14,"AR-X","HOUSE",0,1994-03-03,1995,2000,30,1,"Law 8.365"
"CORDOBA",14,"AR-X","HOUSE",0,2000-12-12,2001,,50,1,"Law 8.901"
"CORRIENTES",18,"AR-W","HOUSE",0,1992-11-25,1993,2003,30,1,"Law 4.673"
"CORRIENTES",18,"AR-W","HOUSE",0,2003-06-11,2003,,30,1,"Decree 1.332"
"CHACO",22,"AR-H","HOUSE",0,1993-05-05,1993,2018,30,1,"Law 3.747, Law 3.858"
"CHACO",22,"AR-H","HOUSE",0,2018-10-24,2019,,50,1,"Law 2.923-Q"
"CHUBUT",26,"AR-U","HOUSE",0,1995-02-17,1995,2016,30,1,"National Law 24.012, Decree 137/95"
"CHUBUT",26,"AR-U","HOUSE",0,2016-12-15,2017,,50,1,"Law V-155, Law XII-12"
"ENTRE RIOS",30,"AR-E","HOUSE",0,2011-03-15,2011,,25,1,"Law 10.012"
"FORMOSA",34,"AR-P","HOUSE",0,1995-07-26,1997,2019,33,1,"Law 1.155"
"FORMOSA",34,"AR-P","HOUSE",0,2019-04-04,2019,,50,1,"Law 1.679"
"JUJUY",38,"AR-Y","HOUSE",0,2010-11-25,2011,,33,1,"Law 5.668"
"LA PAMPA",42,"AR-L","HOUSE",0,1994-12-01,1995,2020,30,1,"Law 1.593"
